Nom_eBird;Nom_eBird2;Nom_Birdlife;Comment
Himantopus.mexicanus;Himantopus.himantopus;Himantopus.himantopus;
Formicivora.littoralis;Formicivora.serrana;Formicivora.serrana;
Serpophaga.munda;Serpophaga.subcristata;Serpophaga.subcristata;
Porphyrio.madagascariensis;Porphyrio.porphyrio;Porphyrio.porphyrio;
Acrocephalus.baeticatus;Acrocephalus.scirpaceus;Acrocephalus.scirpaceus;
Calandrella.erlangeri;Calandrella.blanfordi;Calandrella.blanfordi;
Caprimulgus.nigriscapularis;Caprimulgus.pectoralis;Caprimulgus.pectoralis;
Caprimulgus.ruwenzorii;Caprimulgus.poliocephalus;Caprimulgus.poliocephalus;
Chersomanes.beesleyi;Chersomanes.albofasciata;Chersomanes.albofasciata;
Geokichla.tanganjicae;Geokichla.piaggiae;Geokichla.piaggiae;
Indicator.conirostris;Indicator.minor;Indicator.minor;cf column notes
Laniarius.major;Laniarius.aethiopicus;Laniarius.aethiopicus;
Laniarius.willardi;Laniarius.poensis;Laniarius.poensis;
Lanius.humeralis;Lanius.collaris;Lanius.collaris;
Mirafra.cantillans;Mirafra.javanica;Mirafra.javanica;
Oenanthe.lugubris;Oenanthe.lugens;Oenanthe.lugens;
Ortygospiza.fuscocrissa;Ortygospiza.atricollis;Ortygospiza.atricollis;
Ortygospiza.gabonensis;Ortygospiza.atricollis;Ortygospiza.atricollis;
Apus.leuconyx;Apus.pacificus;Apus.pacificus;
Cecropis.striolata;Cecropis.daurica;Cecropis.daurica;
Cyanoderma.ambiguum;Cyanoderma.rufifrons;Cyanoderma.rufifrons;
Nisaetus.limnaeetus;Nisaetus.cirrhatus;Nisaetus.cirrhatus;
Parus.cinereus;Parus.major;Parus.major;
Pericrocotus.speciosus;Pericrocotus.flammeus;Pericrocotus.flammeus;
Porphyrio.poliocephalus;Porphyrio.porphyrio;Porphyrio.porphyrio;
Pteruthius.ripleyi;Pteruthius.aeralatus;Pteruthius.aeralatus;
Saxicola.maurus;Saxicola.torquatus;Saxicola.torquatus;
Aerodramus.amelis;Aerodramus.vanikorensis;Aerodramus.vanikorensis;
Aerodramus.germani;Aerodramus.fuciphagus;Aerodramus.fuciphagus;
Aethopyga.decorosa;Aethopyga.pulcherrima;Aethopyga.pulcherrima;
Batrachostomus.chaseni;Batrachostomus.javensis;Batrachostomus.javensis;
Ceyx.rufidorsa;Ceyx.erithaca;Ceyx.erithaca;
Collocalia.isonota;Collocalia.esculenta;Collocalia.esculenta;
Collocalia.marginata;Collocalia.esculenta;Collocalia.esculenta;
Himantopus.leucocephalus;Himantopus.himantopus;Himantopus.himantopus;
Hypsipetes.guimarasensis;Hypsipetes.philippinus;Hypsipetes.philippinus;
Penelopides.samarensis;Penelopides.affinis;Penelopides.affinis;
