"Name_eBird","Names_Birdlife","nb_spc"
"Amazilia.lactea","Amazilia.bartletti Amazilia.lactea",2
"Amazilia.viridifrons","Amazilia.viridifrons Amazilia.wagneri",2
"Amazilia.viridigaster","Amazilia.cupreicauda Amazilia.viridigaster",2
"Amazona.autumnalis","Amazona.autumnalis Amazona.diadema Amazona.lilacina",3
"Amazona.farinosa","Amazona.farinosa Amazona.guatemalae",2
"Amazona.festiva","Amazona.bodini Amazona.festiva",2
"Anisognathus.igniventris","Anisognathus.igniventris Anisognathus.lunulatus",2
"Anisognathus.somptuosus","Anisognathus.flavinucha Anisognathus.somptuosus",2
"Anthracothorax.dominicus","Anthracothorax.aurulentus Anthracothorax.dominicus",2
"Antrostomus.cubanensis","Antrostomus.cubanensis Antrostomus.ekmani",2
"Arremon.abeillei","Arremon.abeillei Arremon.nigriceps",2
"Arremon.taciturnus","Arremon.axillaris Arremon.taciturnus",2
"Asthenes.dorbignyi","Asthenes.arequipae Asthenes.dorbignyi Asthenes.huancavelicae Asthenes.usheri",4
"Atlapetes.albofrenatus","Atlapetes.albofrenatus Atlapetes.meridae",2
"Atlapetes.latinuchus","Atlapetes.latinuchus Atlapetes.nigrifrons",2
"Atlapetes.leucopterus","Atlapetes.leucopterus Atlapetes.paynteri",2
"Atlapetes.schistaceus","Atlapetes.schistaceus Atlapetes.taczanowskii",2
"Atlapetes.tricolor","Atlapetes.crassus Atlapetes.tricolor",2
"Aulacorhynchus.albivitta","Aulacorhynchus.albivitta Aulacorhynchus.atrogularis Aulacorhynchus.cyanolaemus",3
"Aulacorhynchus.prasinus","Aulacorhynchus.caeruleogularis Aulacorhynchus.prasinus Aulacorhynchus.wagleri",3
"Aulacorhynchus.sulcatus","Aulacorhynchus.calorhynchus Aulacorhynchus.sulcatus",2
"Automolus.subulatus","Automolus.subulatus Automolus.virgatus",2
"Basileuterus.culicivorus","Basileuterus.auricapilla Basileuterus.cabanisi Basileuterus.culicivorus",3
"Bubo.virginianus","Bubo.magellanicus Bubo.virginianus",2
"Cacicus.cela","Cacicus.cela",1
"Cacicus.chrysonotus","Cacicus.chrysonotus Cacicus.leucoramphus",2
"Cacicus.uropygialis","Cacicus.microrhynchus Cacicus.pacificus Cacicus.uropygialis",3
"Calonectris.diomedea","Calonectris.borealis Calonectris.diomedea",2
"Campephilus.haematogaster","Campephilus.haematogaster Campephilus.splendens",2
"Campylorhamphus.procurvoides","Campylorhamphus.multostriatus Campylorhamphus.probatus Campylorhamphus.procurvoides",3
"Campylorhynchus.rufinucha","Campylorhynchus.capistratus Campylorhynchus.humilis Campylorhynchus.rufinucha",3
"Capito.wallacei","Capito.wallacei",1
"Carduelis.carduelis","Carduelis.carduelis",1
"Catharus.ustulatus","Catharus.swainsoni Catharus.ustulatus",2
"Celeus.torquatus","Celeus.occidentalis Celeus.tinnunculus Celeus.torquatus",3
"Chlorochrysa.calliparaea","Chlorochrysa.calliparaea Chlorochrysa.fulgentissima",2
"Chlorospingus.flavigularis","Chlorospingus.flavigularis Chlorospingus.hypophaeus",2
"Chondrohierax.uncinatus","Chondrohierax.uncinatus",1
"Cichlocolaptes.leucophrus","Cichlocolaptes.holti Cichlocolaptes.leucophrus",2
"Cichlopsis.leucogenys","Cichlopsis.chubbi Cichlopsis.gularis Cichlopsis.leucogenys",3
"Cinclodes.antarcticus","Cinclodes.antarcticus Cinclodes.maculirostris",2
"Cistothorus.platensis","Cistothorus.platensis Cistothorus.stellaris",2
"Cnemoscopus.rubrirostris","Cnemoscopus.chrysogaster Cnemoscopus.rubrirostris",2
"Coccyzus.merlini","Coccyzus.bahamensis Coccyzus.merlini",2
"Coeligena.bonapartei","Coeligena.bonapartei Coeligena.consita Coeligena.eos",3
"Coeligena.torquata","Coeligena.conradii Coeligena.inca Coeligena.torquata",3
"Coeligena.violifer","Coeligena.albicaudata Coeligena.dichroura Coeligena.osculans Coeligena.violifer",4
"Colaptes.auratus","Colaptes.auratus Colaptes.cafer Colaptes.mexicanoides",3
"Colaptes.campestris","Colaptes.campestris Colaptes.campestroides",2
"Colaptes.melanochloros","Colaptes.melanochloros Colaptes.melanolaimus",2
"Colaptes.rivolii","Colaptes.atriceps Colaptes.rivolii",2
"Colaptes.rubiginosus","Colaptes.aeruginosus Colaptes.rubiginosus",2
